Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,delta_temp,power_kw,wear_torque
M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,6.951078534031413,0.0
L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,6.826219895287958,138.89999999999998
L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,7.748816753926701,247.0
L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,5.927068062827225,276.5
L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,5.897382198952879,360.0
M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,6.252094240837696,460.9
L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,6.917193717277486,593.6
L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,6.42779057591623,643.2
M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,4.992272251308901,514.8000000000001
M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,5.104502617801047,588.0
H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,4.4596649214659685,573.5999999999999
H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,6.600931937172774,1284.6999999999998
M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,7.164701570680629,1737.4
M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,5.472251308900524,1110.0
L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,4.176544502617801,784.0
L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,7.814952879581152,2032.8
M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,6.397130890052356,2050.4
M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,6.732565445026178,2143.2000000000003
H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,7.4530890052356025,2725.0
M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,5.55392670157068,1787.5
H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,6.147905759162304,2476.6000000000004
L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,6.802094240837696,2822.3999999999996
M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,5.082376963350785,1995.5
L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,4.730952879581151,1747.6
M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,6.09689005235602,2611.0
L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,4.540450261780105,1700.9
L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,6.174659685863874,2925.0
H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,4.664984293193718,1894.2
L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,6.660083769633508,3624.4
L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,5.336052356020943,2528.4
M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,6.758094240837696,4145.2
L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,4.800942408376963,2269.5
L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,7.176722513089005,4395.3
L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,5.6662303664921465,3022.5
M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,5.664638743455498,3296.5000000000005
M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,7.3892356020942405,4762.8
M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,6.075675392670157,3706.7000000000003
L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,5.906680628272252,4076.8
H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,7.320973821989529,5374.200000000001
L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,7.4214659685863875,5827.5
L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,6.474848167539267,5130.2
L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,7.276900523560209,5842.0
